month,revenue,orders_count
2016-09,134.97,1
2016-10,40325.1100000001,265
2016-12,10.9,1
2017-01,111798.35999999978,750
2017-02,234223.3999999961,1653
2017-03,359198.8499999996,2546
2017-04,340669.6800000002,2303
2017-05,489338.25000000955,3546
2017-06,421923.37000000384,3135
2017-07,481604.5200000087,3872
2017-08,554699.7000000139,4193
2017-09,607399.670000016,4150
2017-10,648247.6500000162,4478
2017-11,987765.3700000329,7289
2017-12,726033.1900000192,5513
2018-01,924645.0000000362,7069
2018-02,826437.1300000302,6555
2018-03,953356.2500000309,7003
2018-04,973534.0900000288,6798
2018-05,977544.6900000286,6749
2018-06,856077.8600000219,6099
2018-07,867953.4600000203,6159
2018-08,838576.6400000232,6351
